               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.029326,             0.02059,           0.0046232,             0.90265,             0.82545,             0.90777,             0.54523,            0.032873,            0.015528,           0.0037992,           0.0053116,           0.0053116,           0.0053116
                  79,            0.029762,            0.020919,           0.0048611,             0.90021,             0.83368,             0.90937,              0.5378,             0.03275,             0.01537,            0.003818,           0.0052174,           0.0052174,           0.0052174
                  80,            0.028811,            0.020264,           0.0046419,              0.8778,             0.83744,             0.89971,             0.54085,            0.032452,            0.015851,           0.0037557,           0.0051234,           0.0051234,           0.0051234
                  81,            0.028502,            0.019617,           0.0045511,             0.83812,             0.87588,             0.89503,             0.53729,            0.032986,            0.015374,           0.0032086,           0.0050296,           0.0050296,           0.0050296
                  82,            0.028617,            0.021143,           0.0040402,             0.92213,             0.79834,             0.89528,             0.53768,            0.034021,              0.0154,            0.003887,            0.004936,            0.004936,            0.004936
                  83,            0.028254,            0.020401,            0.004316,             0.89693,             0.86299,             0.91389,             0.57023,            0.031452,            0.014934,            0.003635,           0.0048426,           0.0048426,           0.0048426
                  84,            0.027907,             0.01984,           0.0044572,             0.87968,             0.87564,             0.90829,             0.55666,            0.032311,            0.015017,           0.0044795,           0.0047495,           0.0047495,           0.0047495
                  85,            0.028224,            0.020423,           0.0041708,             0.87555,              0.8508,             0.91144,             0.56263,            0.032194,            0.015098,           0.0042276,           0.0046568,           0.0046568,           0.0046568
                  86,            0.028012,            0.019711,           0.0041094,               0.873,             0.87368,             0.91192,             0.54587,            0.032211,            0.015373,           0.0040245,           0.0045644,           0.0045644,           0.0045644
                  87,            0.028355,            0.019609,           0.0041063,             0.91042,             0.85056,             0.91418,             0.55818,            0.032083,            0.015163,           0.0035147,           0.0044724,           0.0044724,           0.0044724
                  88,            0.027567,              0.0187,           0.0044388,             0.89659,             0.85473,             0.91373,             0.55896,            0.031788,            0.015257,           0.0039759,           0.0043809,           0.0043809,           0.0043809
                  89,            0.028048,            0.020762,           0.0039616,             0.87828,              0.8782,              0.9042,             0.54502,            0.032071,            0.015471,           0.0037295,           0.0042899,           0.0042899,           0.0042899
                  90,            0.027172,            0.019721,           0.0041614,             0.88268,             0.88778,             0.91896,             0.55134,            0.032508,            0.015167,           0.0045123,           0.0041994,           0.0041994,           0.0041994
